Subject,Start Date,Start Time,End Date,End Time,Location,Description
METODI NUMERICI PER IL CALCOLO,2023-09-19,07:00,2023-09-19,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-09-19,11:00,2023-09-19,14:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-09-20,07:00,2023-09-20,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-09-20,10:00,2023-09-20,12:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-09-20,13:00,2023-09-20,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-09-21,11:00,2023-09-21,14:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-09-21,14:00,2023-09-21,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-09-22,07:00,2023-09-22,10:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-09-22,11:00,2023-09-22,14:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-09-26,07:00,2023-09-26,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-09-26,11:00,2023-09-26,14:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-09-27,07:00,2023-09-27,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-09-27,10:00,2023-09-27,12:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-09-27,13:00,2023-09-27,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-09-28,11:00,2023-09-28,14:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-09-28,14:00,2023-09-28,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-09-29,07:00,2023-09-29,10:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-09-29,11:00,2023-09-29,14:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-10-03,07:00,2023-10-03,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-10-03,11:00,2023-10-03,14:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
MICROECONOMIA / (1) Modulo 1,2023-10-05,11:00,2023-10-05,14:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-10-05,14:00,2023-10-05,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-10-06,07:00,2023-10-06,10:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-10-06,11:00,2023-10-06,14:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-10-10,07:00,2023-10-10,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-10-10,11:00,2023-10-10,14:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-10-11,07:00,2023-10-11,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-10-11,10:00,2023-10-11,12:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-10-11,13:00,2023-10-11,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
